ub,risk,ls,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
0.0,0.0,33.23,0.28,0.16999999999999993,1.8,0.0,0.0,0.56,0.0,0.0,1.75,1.95,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,0.97,1.8,0.74,0.71,1.36,0.1499999999999999,1.71,1.75,1.95,2.65,1.94,3.17,1.0,0.0,1.81,1.28
0.45226130653266333,0.0,33.23,0.28,0.16999999999999993,1.8,0.0,0.0,0.56,0.0,0.0,1.75,1.95,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,0.97,1.8,0.74,0.71,1.36,0.1499999999999999,1.71,1.75,1.95,2.65,1.94,3.17,1.0,0.0,1.81,1.28
0.9045226130653267,0.0,33.23,0.28,0.16999999999999993,1.8,0.0,0.0,0.56,0.0,0.0,1.75,1.95,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,0.97,1.8,0.74,0.71,1.36,0.1499999999999999,1.71,1.75,1.95,2.65,1.94,3.17,1.0,0.0,1.81,1.28
1.35678391959799,1.0,30.060000000000002,0.28,0.16999999999999993,1.8,0.0,0.0,0.56,0.0,0.0,1.75,1.95,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,0.97,1.8,0.74,0.71,1.36,0.1499999999999999,1.71,1.75,1.95,2.65,1.94,0.0,1.0,0.0,1.81,1.28
1.8090452261306533,1.0,30.060000000000002,0.28,0.16999999999999993,1.8,0.0,0.0,0.56,0.0,0.0,1.75,1.95,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,0.97,1.8,0.74,0.71,1.36,0.1499999999999999,1.71,1.75,1.95,2.65,1.94,0.0,1.0,0.0,1.81,1.28
2.2613065326633164,2.12,27.409999999999997,0.28,0.16999999999999993,1.8,0.0,0.0,0.56,0.0,0.0,1.75,1.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,0.97,1.8,0.74,0.71,1.36,0.1499999999999999,1.71,1.75,1.95,2.65,1.94,0.0,1.0,0.0,1.81,1.28
2.71356783919598,2.62,27.409999999999997,0.28,0.16999999999999993,1.8,0.0,0.0,0.56,0.0,0.0,1.75,1.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,0.97,1.8,0.74,0.71,1.36,0.1499999999999999,1.71,1.75,1.95,2.65,1.94,0.0,1.0,0.0,1.81,1.28
3.1658291457286434,3.12,26.33,0.28,0.16999999999999993,1.8,0.0,0.0,0.56,0.0,0.0,1.75,1.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.8,0.74,0.71,1.36,0.1499999999999999,1.71,1.75,1.95,2.65,1.94,0.0,1.0,0.0,1.81,1.28
3.6180904522613067,3.12,26.33,0.28,0.16999999999999993,1.8,0.0,0.0,0.56,0.0,0.0,1.75,1.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.8,0.74,0.71,1.36,0.1499999999999999,1.71,1.75,1.95,2.65,1.94,0.0,1.0,0.0,1.81,1.28
4.0703517587939695,4.0,25.78,0.28,0.16999999999999993,1.8,0.0,0.0,0.56,0.0,0.0,1.75,1.95,0.44999999999999973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.8,0.74,0.71,1.36,0.1499999999999999,1.71,1.75,1.95,2.65,1.94,0.0,0.0,0.0,1.81,1.28
